ticker,date,open,high,low,close,volume
BAC,2023-01-03,30.23,31.09,30.21,30.51,35221501.0
BAC,2023-01-04,30.9,31.82,30.83,31.14,41998548.0
BAC,2023-01-05,30.92,31.14,30.58,31.07,34177048.0
BAC,2023-01-06,31.09,31.58,30.54,31.41,34068731.0
BAC,2023-01-09,31.75,31.76,30.71,30.89,43818820.0
BAC,2023-01-10,30.74,31.27,30.64,31.12,35096022.0
BAC,2023-01-11,31.12,31.44,31.0,31.38,36783730.0
BAC,2023-01-12,31.6,31.87,31.36,31.47,44230396.0
BAC,2023-01-13,31.2,32.39,30.09,32.23,89667817.0
BAC,2023-01-17,31.69,31.83,31.15,31.52,56458394.0
BAC,2023-01-18,31.33,31.34,30.51,30.72,54517763.0
BAC,2023-01-19,30.29,30.55,29.89,30.23,42707120.0
BAC,2023-01-20,30.3,30.89,30.09,30.85,45004365.0
BAC,2023-01-23,30.81,31.51,30.75,31.32,33683307.0
BAC,2023-01-24,31.22,31.79,30.95,31.57,26716730.0
BAC,2023-01-25,31.3,31.96,31.25,31.87,28859718.0
BAC,2023-01-26,32.05,32.35,31.79,32.34,30035463.0
BAC,2023-01-27,32.44,32.78,32.27,32.45,29964907.0
BAC,2023-01-30,32.21,32.56,32.18,32.3,27353495.0
BAC,2023-01-31,32.17,32.48,32.0,32.48,38917437.0
BAC,2023-02-01,32.2,33.26,32.11,32.92,44438726.0
BAC,2023-02-02,33.1,33.38,32.44,33.13,33729056.0
BAC,2023-02-03,33.02,33.76,32.9,33.43,37411682.0
BAC,2023-02-06,33.25,33.44,32.98,33.37,29463202.0
BAC,2023-02-07,33.17,34.0,33.13,33.77,44100247.0
BAC,2023-02-08,33.41,33.84,33.34,33.5,28032757.0
BAC,2023-02-09,33.27,33.35,32.56,32.72,35257061.0
BAC,2023-02-10,32.55,32.59,32.03,32.58,32898903.0
BAC,2023-02-13,32.48,32.78,32.39,32.65,29163863.0
BAC,2023-02-14,32.63,32.99,32.46,32.62,33625202.0
BAC,2023-02-15,32.32,32.61,32.16,32.56,23516510.0
BAC,2023-02-16,32.42,32.66,32.22,32.28,22681070.0
BAC,2023-02-17,32.08,32.39,31.75,32.35,28562699.0
BAC,2023-02-21,31.91,32.05,31.27,31.52,37068852.0
BAC,2023-02-22,31.36,31.55,31.07,31.29,38550421.0
BAC,2023-02-23,31.4,31.6,30.86,31.26,28487971.0
BAC,2023-02-24,30.86,31.29,30.84,31.21,27046643.0
BAC,2023-02-27,31.45,31.69,31.17,31.21,30137549.0
BAC,2023-02-28,31.35,31.49,31.18,31.3,32620619.0
BAC,2023-03-01,31.15,31.49,30.98,31.14,29281552.0
BAC,2023-03-02,30.88,30.92,30.22,30.71,44623368.0
BAC,2023-03-03,30.87,31.51,30.87,31.38,39109090.0
BAC,2023-03-06,31.46,31.78,31.21,31.31,36646675.0
BAC,2023-03-07,31.07,31.12,30.02,30.22,52855294.0
BAC,2023-03-08,29.88,30.19,29.66,29.78,40045598.0
BAC,2023-03-09,29.51,29.61,27.53,27.76,112457859.0
BAC,2023-03-10,27.54,28.26,26.14,27.49,165330889.0
BAC,2023-03-13,26.14,26.94,25.09,25.73,218403265.0
BAC,2023-03-14,27.21,27.31,25.69,25.98,154255805.0
BAC,2023-03-15,25.1,25.78,24.9,25.71,131104413.0
BAC,2023-03-16,25.6,26.69,25.33,26.19,108449495.0
BAC,2023-03-17,25.88,25.88,24.84,25.04,130665529.0
BAC,2023-03-20,25.46,25.65,24.87,24.97,81441225.0
BAC,2023-03-21,25.85,26.2,25.73,25.81,84854840.0
BAC,2023-03-22,25.93,25.96,24.86,24.86,76925884.0
BAC,2023-03-23,25.22,25.31,24.01,24.19,105335937.0
BAC,2023-03-24,23.82,24.51,23.54,24.36,96978311.0
BAC,2023-03-27,25.15,25.87,25.13,25.71,102469809.0
BAC,2023-03-28,25.6,25.87,25.2,25.34,63416517.0
BAC,2023-03-29,25.71,25.99,25.46,25.89,62666372.0
BAC,2023-03-30,26.14,26.28,25.33,25.52,67427125.0
BAC,2023-03-31,25.84,25.9,25.48,25.82,56482080.0
BAC,2023-04-03,25.86,26.2,25.55,25.81,51996802.0
BAC,2023-04-04,25.77,25.87,24.88,25.2,56233295.0
BAC,2023-04-05,24.88,25.13,24.68,24.86,47799353.0
BAC,2023-04-06,24.94,25.23,24.84,25.06,41216577.0
BAC,2023-04-10,24.89,25.32,24.87,25.16,40572740.0
BAC,2023-04-11,25.24,25.97,25.18,25.93,58761187.0
BAC,2023-04-12,25.9,26.23,25.59,25.7,44313339.0
BAC,2023-04-13,25.78,25.86,25.46,25.78,52261420.0
BAC,2023-04-14,26.52,27.09,26.47,26.74,81110834.0
BAC,2023-04-17,26.99,27.63,26.62,27.59,83704412.0
BAC,2023-04-18,28.02,28.15,27.02,27.78,114498760.0
BAC,2023-04-19,27.35,27.42,27.01,27.28,65594193.0
BAC,2023-04-20,27.06,27.45,26.99,27.12,43193780.0
BAC,2023-04-21,26.97,27.2,26.63,27.09,44759015.0
BAC,2023-04-24,27.01,27.12,26.81,26.98,28020283.0
BAC,2023-04-25,26.67,26.75,26.04,26.06,49718810.0
BAC,2023-04-26,25.98,26.16,25.52,25.66,45848397.0
BAC,2023-04-27,25.74,26.3,25.74,26.11,33060075.0
BAC,2023-04-28,25.75,26.65,25.73,26.5,45592453.0
BAC,2023-05-01,26.72,26.76,26.22,26.26,34076802.0
BAC,2023-05-02,26.07,26.08,24.93,25.38,70797721.0
BAC,2023-05-03,25.38,25.72,25.03,25.08,51139533.0
BAC,2023-05-04,24.8,25.03,24.05,24.21,82173808.0
BAC,2023-05-05,24.84,25.11,24.69,24.93,50087053.0
BAC,2023-05-08,25.3,25.37,24.88,24.91,34245451.0
BAC,2023-05-09,24.64,25.05,24.46,24.88,32188824.0
BAC,2023-05-10,25.18,25.22,24.24,24.54,44446442.0
BAC,2023-05-11,24.23,24.71,24.1,24.61,34897272.0
BAC,2023-05-12,24.74,24.77,24.1,24.31,38142001.0
BAC,2023-05-15,24.32,25.04,24.25,24.87,38722801.0
BAC,2023-05-16,25.0,25.12,24.55,24.58,33347548.0
BAC,2023-05-17,24.96,25.89,24.95,25.79,61750414.0
BAC,2023-05-18,25.66,25.72,25.22,25.69,51146054.0
BAC,2023-05-19,25.68,25.89,25.25,25.33,50062477.0
BAC,2023-05-22,25.52,25.67,25.23,25.56,36473656.0
BAC,2023-05-23,25.54,26.3,25.52,25.8,51400415.0
BAC,2023-05-24,25.55,25.73,25.22,25.32,50606887.0
BAC,2023-05-25,25.21,25.46,25.1,25.39,40517781.0
