ticker,date,open,high,low,close,volume
GOOGL,2023-01-03,88.16,89.62,87.09,87.69,28131224.0
GOOGL,2023-01-04,88.92,89.22,85.84,86.65,34854776.0
GOOGL,2023-01-05,86.04,86.14,84.47,84.77,27194375.0
GOOGL,2023-01-06,85.36,86.26,83.43,85.91,41381495.0
GOOGL,2023-01-09,86.93,88.62,86.43,86.59,29003901.0
GOOGL,2023-01-10,84.55,87.24,84.4,86.99,30467755.0
GOOGL,2023-01-11,87.75,90.17,87.58,90.09,26861969.0
GOOGL,2023-01-12,90.05,90.44,88.32,89.7,30258135.0
GOOGL,2023-01-13,89.42,90.76,88.7,90.69,26329212.0
GOOGL,2023-01-17,90.63,90.82,88.62,89.86,32602423.0
GOOGL,2023-01-18,90.71,91.37,89.21,89.69,29116691.0
GOOGL,2023-01-19,89.29,92.18,89.2,91.62,37000395.0
GOOGL,2023-01-20,93.67,96.87,93.59,96.59,63191078.0
GOOGL,2023-01-23,96.52,98.61,96.07,98.36,40005055.0
GOOGL,2023-01-24,96.67,98.18,95.77,96.27,33078512.0
GOOGL,2023-01-25,94.14,94.73,92.33,93.79,42329952.0
GOOGL,2023-01-26,95.07,96.14,93.95,96.09,30113974.0
GOOGL,2023-01-27,95.88,98.89,95.88,97.94,33879753.0
GOOGL,2023-01-30,96.05,96.86,94.97,95.51,27226198.0
GOOGL,2023-01-31,95.44,97.45,95.39,97.41,29870669.0
GOOGL,2023-02-01,97.28,99.76,96.15,99.0,35531104.0
GOOGL,2023-02-02,104.37,106.42,104.18,106.31,69883762.0
GOOGL,2023-02-03,101.5,106.38,101.15,103.35,65309261.0
GOOGL,2023-02-06,100.97,102.93,100.45,101.47,31999562.0
GOOGL,2023-02-07,101.79,106.75,101.69,106.21,49010230.0
GOOGL,2023-02-08,100.62,101.71,96.61,97.94,94743515.0
GOOGL,2023-02-09,98.57,98.6,92.2,93.58,119455020.0
GOOGL,2023-02-10,94.02,95.32,92.82,93.14,54980696.0
GOOGL,2023-02-13,93.31,93.77,92.41,93.18,50076120.0
GOOGL,2023-02-14,93.0,93.42,90.83,93.25,54726120.0
GOOGL,2023-02-15,93.06,95.69,92.72,95.51,50298481.0
GOOGL,2023-02-16,93.94,96.25,93.31,94.08,42462618.0
GOOGL,2023-02-17,93.42,94.13,91.78,92.92,34284118.0
GOOGL,2023-02-21,91.57,91.67,90.29,90.36,33629256.0
GOOGL,2023-02-22,90.27,90.68,89.18,90.22,30884017.0
GOOGL,2023-02-23,90.49,90.51,88.33,89.46,41206380.0
GOOGL,2023-02-24,88.01,88.46,87.15,87.7,36585093.0
GOOGL,2023-02-27,88.44,88.73,87.91,88.44,27502302.0
GOOGL,2023-02-28,87.9,89.8,87.89,88.63,30142039.0
GOOGL,2023-03-01,88.55,89.6,88.24,88.93,31111225.0
GOOGL,2023-03-02,88.23,90.85,88.16,90.57,32226229.0
GOOGL,2023-03-03,91.05,92.3,91.02,92.22,35160105.0
GOOGL,2023-03-06,92.59,94.54,92.57,93.7,32639313.0
GOOGL,2023-03-07,93.55,94.24,92.1,92.43,27835476.0
GOOGL,2023-03-08,92.69,94.53,92.57,92.82,34103265.0
GOOGL,2023-03-09,92.62,94.1,90.47,90.89,28813532.0
GOOGL,2023-03-10,90.74,91.36,88.97,89.2,35941046.0
GOOGL,2023-03-13,88.66,91.14,87.99,89.68,37335573.0
GOOGL,2023-03-14,91.13,92.93,91.01,92.54,36050214.0
GOOGL,2023-03-15,91.79,95.5,91.21,94.68,50622050.0
GOOGL,2023-03-16,94.77,99.76,94.07,98.89,65567656.0
GOOGL,2023-03-17,98.83,101.41,98.67,100.19,61028547.0
GOOGL,2023-03-20,98.69,100.32,98.44,99.79,32960440.0
GOOGL,2023-03-21,99.82,103.67,99.79,103.49,42110279.0
GOOGL,2023-03-22,102.84,105.16,101.9,101.94,43427419.0
GOOGL,2023-03-23,103.63,104.87,103.03,104.17,40797769.0
GOOGL,2023-03-24,103.56,104.06,102.41,104.01,30411043.0
GOOGL,2023-03-27,103.19,103.33,100.5,101.03,31120864.0
GOOGL,2023-03-28,101.01,101.02,98.31,99.6,32057865.0
GOOGL,2023-03-29,100.85,101.06,99.22,99.96,28779572.0
GOOGL,2023-03-30,99.48,99.73,98.35,99.46,33086183.0
GOOGL,2023-03-31,99.87,102.46,99.61,102.3,36863369.0
GOOGL,2023-04-03,100.96,103.1,100.5,102.93,25035399.0
GOOGL,2023-04-04,102.9,104.15,102.61,103.29,24420079.0
GOOGL,2023-04-05,104.35,104.67,102.23,103.04,28290503.0
GOOGL,2023-04-06,103.83,107.74,102.9,106.99,48711480.0
GOOGL,2023-04-10,105.55,106.16,103.69,105.01,27067355.0
GOOGL,2023-04-11,105.12,105.3,103.25,103.92,26311803.0
GOOGL,2023-04-12,105.15,105.32,102.91,103.21,24370274.0
GOOGL,2023-04-13,104.41,106.06,104.41,106.0,24843579.0
GOOGL,2023-04-14,105.46,107.51,105.41,107.44,26578002.0
GOOGL,2023-04-17,103.23,104.73,103.09,104.54,37571218.0
GOOGL,2023-04-18,105.06,105.11,102.64,103.07,26596445.0
GOOGL,2023-04-19,102.15,103.55,101.64,102.75,20905684.0
GOOGL,2023-04-20,102.48,104.82,102.44,103.86,27820794.0
GOOGL,2023-04-21,104.04,104.57,103.35,103.98,25800082.0
GOOGL,2023-04-24,104.06,105.2,103.27,104.54,23542829.0
GOOGL,2023-04-25,104.4,105.26,102.41,102.42,46664104.0
GOOGL,2023-04-26,103.49,104.92,101.2,102.28,53347560.0
GOOGL,2023-04-27,103.02,106.94,102.11,106.16,50089187.0
GOOGL,2023-04-28,105.61,105.92,103.66,105.91,36139847.0
GOOGL,2023-05-01,105.41,106.56,105.39,105.77,26681680.0
GOOGL,2023-05-02,105.71,105.77,102.28,103.89,30997245.0
GOOGL,2023-05-03,104.1,106.06,103.53,103.98,21795405.0
GOOGL,2023-05-04,104.06,104.17,102.54,103.26,23419506.0
GOOGL,2023-05-05,103.39,104.45,102.68,104.14,26639254.0
GOOGL,2023-05-08,103.75,106.53,103.73,106.34,26511445.0
GOOGL,2023-05-09,106.96,108.72,105.76,105.92,36360141.0
GOOGL,2023-05-10,106.54,111.51,106.5,110.32,63153367.0
GOOGL,2023-05-11,113.97,116.49,112.98,115.14,78900029.0
GOOGL,2023-05-12,115.25,116.6,114.68,116.08,41102330.0
GOOGL,2023-05-15,114.68,117.05,114.58,115.08,36266765.0
GOOGL,2023-05-16,115.06,119.32,115.0,118.08,45035558.0
GOOGL,2023-05-17,118.18,120.24,117.46,119.41,33323588.0
GOOGL,2023-05-18,119.52,121.88,119.4,121.4,35234233.0
GOOGL,2023-05-19,122.12,124.54,120.72,121.33,41353445.0
