ticker,date,open,high,low,close,volume
GS,2023-01-03,312.5,315.6,309.81,313.22,1589777.0
GS,2023-01-04,315.03,317.31,312.08,314.7,1880985.0
GS,2023-01-05,311.25,312.14,307.14,310.76,1397960.0
GS,2023-01-06,314.3,316.0,307.95,315.08,3097817.0
GS,2023-01-09,318.88,323.5,316.5,320.0,1989134.0
GS,2023-01-10,319.64,324.5,317.5,324.36,1610302.0
GS,2023-01-11,325.87,332.5,323.21,331.48,2127013.0
GS,2023-01-12,333.24,337.1,329.57,336.94,2103065.0
GS,2023-01-13,330.49,341.35,329.36,341.0,3310238.0
GS,2023-01-17,331.8,333.79,311.0,316.92,14448267.0
GS,2023-01-18,315.32,321.79,314.8,316.09,5585162.0
GS,2023-01-19,313.03,319.16,312.52,317.75,3100606.0
GS,2023-01-20,316.87,319.25,305.21,308.84,11247154.0
GS,2023-01-23,308.67,316.56,303.16,316.14,4915671.0
GS,2023-01-24,307.0,317.3,307.0,315.33,2371973.0
GS,2023-01-25,311.75,316.96,310.9,316.63,1985154.0
GS,2023-01-26,318.73,322.0,316.52,321.97,1919172.0
GS,2023-01-27,318.95,322.99,318.83,320.7,2427638.0
GS,2023-01-30,320.29,329.33,319.4,324.46,3184633.0
GS,2023-01-31,326.16,332.92,323.86,332.81,2311684.0
GS,2023-02-01,326.1,335.94,325.76,332.71,2889433.0
GS,2023-02-02,335.0,339.89,331.55,336.47,2619577.0
GS,2023-02-03,332.62,341.57,332.44,336.95,2243051.0
GS,2023-02-06,336.0,338.26,332.78,337.8,1816448.0
GS,2023-02-07,335.17,343.31,334.34,341.4,2205581.0
GS,2023-02-08,339.92,345.35,338.98,342.1,1893223.0
GS,2023-02-09,344.04,346.68,334.8,334.99,2052544.0
GS,2023-02-10,334.0,339.23,331.56,338.28,1933370.0
GS,2023-02-13,336.09,342.06,335.0,341.02,1570700.0
GS,2023-02-14,340.94,344.05,336.38,338.78,2155712.0
GS,2023-02-15,335.74,341.37,335.25,341.34,1687569.0
GS,2023-02-16,337.75,341.25,335.8,337.2,1947985.0
GS,2023-02-17,335.05,338.06,333.86,335.5,1857335.0
GS,2023-02-21,333.72,333.72,327.09,328.12,2403029.0
GS,2023-02-22,328.63,330.0,325.04,327.89,2203940.0
GS,2023-02-23,330.2,334.88,326.61,330.54,1931502.0
GS,2023-02-24,327.17,332.18,326.53,330.85,2428661.0
GS,2023-02-27,335.22,337.3,331.51,332.53,2842388.0
GS,2023-02-28,333.0,333.01,318.33,318.65,4945557.0
GS,2023-03-01,318.89,322.04,315.46,315.73,2717354.0
GS,2023-03-02,313.49,319.28,309.99,318.6,3260264.0
GS,2023-03-03,320.14,327.27,319.06,326.59,2396334.0
GS,2023-03-06,327.56,328.36,323.23,326.55,1614160.0
GS,2023-03-07,325.05,325.7,315.13,315.58,2048530.0
GS,2023-03-08,315.69,319.19,314.67,318.79,1584632.0
GS,2023-03-09,318.7,323.79,310.55,311.59,3177787.0
