ticker,date,open,high,low,close,volume
MSFT,2023-01-03,233.81,236.48,228.13,230.31,25740036.0
MSFT,2023-01-04,223.01,223.6,216.69,219.83,50623394.0
MSFT,2023-01-05,217.93,218.28,212.49,213.04,39585623.0
MSFT,2023-01-06,213.73,216.49,210.08,215.66,43613574.0
MSFT,2023-01-09,217.18,221.97,217.14,217.85,27369784.0
MSFT,2023-01-10,218.49,222.04,218.06,219.58,27033881.0
MSFT,2023-01-11,222.02,226.68,221.84,226.5,28669331.0
MSFT,2023-01-12,225.99,230.63,224.29,229.24,27269486.0
MSFT,2023-01-13,227.73,230.1,225.65,229.96,21333265.0
MSFT,2023-01-17,228.7,231.64,227.82,231.08,29831257.0
MSFT,2023-01-18,232.3,233.11,226.25,226.54,30028692.0
MSFT,2023-01-19,224.51,226.25,221.41,222.66,28623033.0
MSFT,2023-01-20,225.59,231.47,225.24,230.95,35389809.0
MSFT,2023-01-23,231.83,235.9,230.38,233.31,31933951.0
MSFT,2023-01-24,233.23,234.68,231.17,232.77,40234444.0
MSFT,2023-01-25,225.21,234.03,221.63,231.34,66526641.0
MSFT,2023-01-26,234.38,239.04,232.73,238.73,33454491.0
MSFT,2023-01-27,239.72,240.56,237.56,238.89,26498939.0
MSFT,2023-01-30,235.24,236.33,232.93,233.44,25867365.0
MSFT,2023-01-31,234.18,238.68,233.68,238.54,26541072.0
MSFT,2023-02-01,238.73,245.91,236.2,243.48,31259912.0
MSFT,2023-02-02,249.55,255.42,247.98,255.33,39940437.0
MSFT,2023-02-03,250.27,254.93,247.83,249.08,29077256.0
MSFT,2023-02-06,248.17,249.03,245.51,247.5,22517997.0
MSFT,2023-02-07,251.26,259.51,250.81,258.29,50841365.0
MSFT,2023-02-08,263.93,267.49,256.94,257.46,54686049.0
MSFT,2023-02-09,264.53,264.71,253.53,254.35,42375102.0
MSFT,2023-02-10,252.26,254.82,251.39,253.83,25818489.0
MSFT,2023-02-13,258.37,265.33,257.88,262.05,44630921.0
MSFT,2023-02-14,263.4,265.7,260.01,262.9,37047924.0
MSFT,2023-02-15,259.73,262.14,257.59,260.73,28962163.0
MSFT,2023-02-16,255.43,258.15,253.31,253.56,29603616.0
MSFT,2023-02-17,250.8,251.5,247.41,249.47,30000055.0
MSFT,2023-02-21,245.89,246.9,243.0,244.08,28397444.0
MSFT,2023-02-22,245.5,245.75,241.75,242.92,22491056.0
MSFT,2023-02-23,246.97,248.25,241.89,246.18,29219095.0
MSFT,2023-02-24,241.37,242.41,239.51,240.63,24990905.0
MSFT,2023-02-27,243.87,244.23,240.8,241.57,21190042.0
MSFT,2023-02-28,240.48,242.9,240.14,240.83,22490950.0
MSFT,2023-03-01,242.17,242.34,237.2,237.68,27565259.0
MSFT,2023-03-02,237.96,242.81,237.02,242.52,24833646.0
MSFT,2023-03-03,243.6,247.03,242.8,246.7,30760136.0
MSFT,2023-03-06,247.84,251.53,247.39,248.28,24109849.0
MSFT,2023-03-07,247.71,249.1,244.8,245.56,21473179.0
MSFT,2023-03-08,245.45,245.95,242.22,245.11,17340217.0
MSFT,2023-03-09,247.23,250.97,242.99,243.73,26653387.0
MSFT,2023-03-10,242.49,244.2,239.01,240.0,28333930.0
MSFT,2023-03-13,238.81,249.32,237.14,245.33,33339721.0
MSFT,2023-03-14,248.16,252.48,247.27,252.2,33620293.0
MSFT,2023-03-15,251.39,257.89,250.62,256.85,46028047.0
MSFT,2023-03-16,256.62,267.97,254.69,267.61,54832140.0
MSFT,2023-03-17,269.67,274.74,267.73,270.84,69527371.0
MSFT,2023-03-20,268.39,268.89,261.26,263.64,43466649.0
MSFT,2023-03-21,266.29,266.41,260.93,265.19,34558704.0
MSFT,2023-03-22,264.81,272.45,263.59,263.7,34873330.0
MSFT,2023-03-23,269.35,272.47,266.61,269.07,36610879.0
MSFT,2023-03-24,268.65,272.04,266.69,271.98,28199962.0
MSFT,2023-03-27,271.91,272.87,266.93,267.79,26840212.0
MSFT,2023-03-28,267.2,267.55,263.46,266.64,21878647.0
MSFT,2023-03-29,270.37,272.55,269.82,271.92,25087032.0
MSFT,2023-03-30,275.64,275.87,272.89,275.46,25053410.0
MSFT,2023-03-31,275.14,280.68,274.41,279.71,32765976.0
MSFT,2023-04-03,277.93,279.68,275.36,278.64,24883342.0
MSFT,2023-04-04,278.64,281.86,277.08,278.59,25824299.0
MSFT,2023-04-05,277.26,278.56,274.33,275.75,22064770.0
MSFT,2023-04-06,274.62,283.49,273.44,283.01,29770334.0
MSFT,2023-04-10,280.62,281.01,276.12,280.8,23102994.0
MSFT,2023-04-11,277.16,277.39,273.05,274.24,27276589.0
MSFT,2023-04-12,276.2,278.42,273.37,274.9,27403432.0
MSFT,2023-04-13,275.0,281.31,274.58,281.25,24222678.0
